# Created by: riboviz
# Date: 2023-04-05 11:45:49
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
snap_masked-SAKL0A-processed-gene-0.86	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.7	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.18	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.20	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.8	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-0.3	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.10	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-0.21	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-0.78	0	0	0	1	1	1
genemark-SAKL0A-processed-gene-0.54	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.22	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-0.4	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-0.93	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.11	1	0	0	0.5	0.5	0.5
augustus_masked-SAKL0A-processed-gene-0.25	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.12	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.28	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.29	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-0.81	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.30	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.32	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.15	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.33	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-0.104	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-0.105	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.34	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.16	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-0.6	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.17	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.37	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-0.38	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.4	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.5	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.6	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.7	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.30	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.8	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.9	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.10	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.11	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.31	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.12	0	0	0	1	1	1
maker-SAKL0A-snap-gene-1.0	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.13	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.33	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.34	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.14	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.35	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.15	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-1.1	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.36	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.17	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.37	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.18	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.38	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.39	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.19	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.40	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-1.138	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-1.139	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-1.117	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.42	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.21	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.43	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.22	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.23	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.44	0	0	0	1	1	1
snap_masked-SAKL0A-processed-gene-1.143	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.24	0	0	0	1	1	1
maker-SAKL0A-augustus-gene-1.2	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.25	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.48	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.26	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.27	0	0	0	1	1	1
augustus_masked-SAKL0A-processed-gene-1.49	0	0	0	1	1	1
