# Created by: riboviz
# Date: 2023-04-05 13:33:17
# File: /exports/csce/eddie/biology/groups/wallace_rna/riboviz-david/riboviz/riboviz/rscripts/generate_stats_figs.R
# Version: commit bb25145b6ec95e37fe5129429ddf94067d6b99f6 date 2023-03-09 14:39:35 GMT
ORF	readcount	rpb	tpm
augustus_masked-SAKL0A-processed-gene-0.10	0	0	0
augustus_masked-SAKL0A-processed-gene-0.11	0	0	0
augustus_masked-SAKL0A-processed-gene-0.12	0	0	0
augustus_masked-SAKL0A-processed-gene-0.14	0	0	0
augustus_masked-SAKL0A-processed-gene-0.15	1	0.000492610837438424	444.977885820239
augustus_masked-SAKL0A-processed-gene-0.16	0	0	0
augustus_masked-SAKL0A-processed-gene-0.17	0	0	0
augustus_masked-SAKL0A-processed-gene-0.18	0	0	0
augustus_masked-SAKL0A-processed-gene-0.19	0	0	0
augustus_masked-SAKL0A-processed-gene-0.20	0	0	0
augustus_masked-SAKL0A-processed-gene-0.21	0	0	0
augustus_masked-SAKL0A-processed-gene-0.22	1	0.000720461095100865	650.796187474846
augustus_masked-SAKL0A-processed-gene-0.25	0	0	0
augustus_masked-SAKL0A-processed-gene-0.26	0	0	0
augustus_masked-SAKL0A-processed-gene-0.27	1	0.000376789751318764	340.356107089332
augustus_masked-SAKL0A-processed-gene-0.28	1	0.0022271714922049	2011.8153857797
augustus_masked-SAKL0A-processed-gene-0.29	1	0.000931966449207828	841.850054254507
augustus_masked-SAKL0A-processed-gene-0.30	0	0	0
augustus_masked-SAKL0A-processed-gene-0.31	0	0	0
augustus_masked-SAKL0A-processed-gene-0.32	0	0	0
augustus_masked-SAKL0A-processed-gene-0.33	0	0	0
augustus_masked-SAKL0A-processed-gene-0.34	0	0	0
augustus_masked-SAKL0A-processed-gene-0.36	0	0	0
augustus_masked-SAKL0A-processed-gene-0.37	0	0	0
augustus_masked-SAKL0A-processed-gene-0.38	0	0	0
augustus_masked-SAKL0A-processed-gene-0.7	0	0	0
augustus_masked-SAKL0A-processed-gene-0.8	0	0	0
augustus_masked-SAKL0A-processed-gene-1.10	0	0	0
augustus_masked-SAKL0A-processed-gene-1.11	0	0	0
augustus_masked-SAKL0A-processed-gene-1.12	0	0	0
augustus_masked-SAKL0A-processed-gene-1.13	0	0	0
augustus_masked-SAKL0A-processed-gene-1.14	0	0	0
augustus_masked-SAKL0A-processed-gene-1.15	0	0	0
augustus_masked-SAKL0A-processed-gene-1.17	0	0	0
augustus_masked-SAKL0A-processed-gene-1.18	0	0	0
augustus_masked-SAKL0A-processed-gene-1.19	0	0	0
augustus_masked-SAKL0A-processed-gene-1.21	0	0	0
augustus_masked-SAKL0A-processed-gene-1.22	0	0	0
augustus_masked-SAKL0A-processed-gene-1.23	0	0	0
augustus_masked-SAKL0A-processed-gene-1.24	0	0	0
augustus_masked-SAKL0A-processed-gene-1.25	0	0	0
augustus_masked-SAKL0A-processed-gene-1.26	0	0	0
augustus_masked-SAKL0A-processed-gene-1.27	0	0	0
augustus_masked-SAKL0A-processed-gene-1.28	0	0	0
augustus_masked-SAKL0A-processed-gene-1.29	0	0	0
augustus_masked-SAKL0A-processed-gene-1.30	0	0	0
augustus_masked-SAKL0A-processed-gene-1.31	0	0	0
augustus_masked-SAKL0A-processed-gene-1.33	1	0.00100502512562814	907.844329864408
augustus_masked-SAKL0A-processed-gene-1.34	0	0	0
augustus_masked-SAKL0A-processed-gene-1.35	0	0	0
augustus_masked-SAKL0A-processed-gene-1.36	0	0	0
augustus_masked-SAKL0A-processed-gene-1.37	0	0	0
augustus_masked-SAKL0A-processed-gene-1.38	0	0	0
augustus_masked-SAKL0A-processed-gene-1.39	0	0	0
augustus_masked-SAKL0A-processed-gene-1.4	0	0	0
augustus_masked-SAKL0A-processed-gene-1.40	0	0	0
augustus_masked-SAKL0A-processed-gene-1.42	0	0	0
augustus_masked-SAKL0A-processed-gene-1.43	0	0	0
augustus_masked-SAKL0A-processed-gene-1.44	1	0.000632911392405063	571.712093807016
augustus_masked-SAKL0A-processed-gene-1.48	0	0	0
augustus_masked-SAKL0A-processed-gene-1.49	0	0	0
augustus_masked-SAKL0A-processed-gene-1.5	0	0	0
augustus_masked-SAKL0A-processed-gene-1.50	1	0.00140252454417952	1266.9075851544
augustus_masked-SAKL0A-processed-gene-1.51	0	0	0
augustus_masked-SAKL0A-processed-gene-1.6	0	0	0
augustus_masked-SAKL0A-processed-gene-1.7	0	0	0
augustus_masked-SAKL0A-processed-gene-1.8	0	0	0
augustus_masked-SAKL0A-processed-gene-1.9	0	0	0
augustus_masked-SAKL0A-processed-gene-2.10	0	0	0
augustus_masked-SAKL0A-processed-gene-2.11	0	0	0
augustus_masked-SAKL0A-processed-gene-2.12	0	0	0
augustus_masked-SAKL0A-processed-gene-2.13	0	0	0
augustus_masked-SAKL0A-processed-gene-2.14	0	0	0
augustus_masked-SAKL0A-processed-gene-2.15	0	0	0
augustus_masked-SAKL0A-processed-gene-2.16	0	0	0
augustus_masked-SAKL0A-processed-gene-2.17	0	0	0
augustus_masked-SAKL0A-processed-gene-2.18	0	0	0
augustus_masked-SAKL0A-processed-gene-2.19	0	0	0
augustus_masked-SAKL0A-processed-gene-2.20	0	0	0
augustus_masked-SAKL0A-processed-gene-2.21	0	0	0
augustus_masked-SAKL0A-processed-gene-2.22	0	0	0
augustus_masked-SAKL0A-processed-gene-2.23	0	0	0
augustus_masked-SAKL0A-processed-gene-2.25	0	0	0
augustus_masked-SAKL0A-processed-gene-2.26	0	0	0
augustus_masked-SAKL0A-processed-gene-2.27	0	0	0
augustus_masked-SAKL0A-processed-gene-2.28	0	0	0
augustus_masked-SAKL0A-processed-gene-2.29	0	0	0
augustus_masked-SAKL0A-processed-gene-2.31	0	0	0
augustus_masked-SAKL0A-processed-gene-2.32	0	0	0
augustus_masked-SAKL0A-processed-gene-2.33	1	0.00124069478908189	1120.72594071351
augustus_masked-SAKL0A-processed-gene-2.34	0	0	0
augustus_masked-SAKL0A-processed-gene-2.35	0	0	0
augustus_masked-SAKL0A-processed-gene-2.36	0	0	0
augustus_masked-SAKL0A-processed-gene-2.37	0	0	0
augustus_masked-SAKL0A-processed-gene-2.39	0	0	0
augustus_masked-SAKL0A-processed-gene-2.41	0	0	0
augustus_masked-SAKL0A-processed-gene-2.43	0	0	0
augustus_masked-SAKL0A-processed-gene-2.45	0	0	0
augustus_masked-SAKL0A-processed-gene-2.46	0	0	0
augustus_masked-SAKL0A-processed-gene-2.47	1	0.00117924528301887	1065.21828798949
augustus_masked-SAKL0A-processed-gene-2.48	0	0	0
augustus_masked-SAKL0A-processed-gene-2.49	0	0	0
augustus_masked-SAKL0A-processed-gene-2.8	0	0	0
augustus_masked-SAKL0A-processed-gene-3.1	0	0	0
augustus_masked-SAKL0A-processed-gene-3.10	1	0.00107991360691145	975.491477554088
augustus_masked-SAKL0A-processed-gene-3.11	1	0.000174825174825175	157.920473464176
augustus_masked-SAKL0A-processed-gene-3.12	0	0	0
augustus_masked-SAKL0A-processed-gene-3.13	0	0	0
augustus_masked-SAKL0A-processed-gene-3.14	0	0	0
augustus_masked-SAKL0A-processed-gene-3.15	1	0.000278784499581823	251.827462563447
augustus_masked-SAKL0A-processed-gene-3.16	0	0	0
augustus_masked-SAKL0A-processed-gene-3.19	0	0	0
augustus_masked-SAKL0A-processed-gene-3.2	0	0	0
augustus_masked-SAKL0A-processed-gene-3.20	3	0.00427960057061341	3865.78505655529
augustus_masked-SAKL0A-processed-gene-3.21	0	0	0
augustus_masked-SAKL0A-processed-gene-3.22	0	0	0
augustus_masked-SAKL0A-processed-gene-3.23	0	0	0
augustus_masked-SAKL0A-processed-gene-3.24	0	0	0
augustus_masked-SAKL0A-processed-gene-3.25	0	0	0
augustus_masked-SAKL0A-processed-gene-3.26	0	0	0
augustus_masked-SAKL0A-processed-gene-3.27	0	0	0
augustus_masked-SAKL0A-processed-gene-3.29	0	0	0
augustus_masked-SAKL0A-processed-gene-3.3	1	0.00117508813160987	1061.46311188612
augustus_masked-SAKL0A-processed-gene-3.30	0	0	0
augustus_masked-SAKL0A-processed-gene-3.31	0	0	0
augustus_masked-SAKL0A-processed-gene-3.32	0	0	0
augustus_masked-SAKL0A-processed-gene-3.33	0	0	0
augustus_masked-SAKL0A-processed-gene-3.34	0	0	0
augustus_masked-SAKL0A-processed-gene-3.35	0	0	0
augustus_masked-SAKL0A-processed-gene-3.36	0	0	0
augustus_masked-SAKL0A-processed-gene-3.38	0	0	0
augustus_masked-SAKL0A-processed-gene-3.39	0	0	0
augustus_masked-SAKL0A-processed-gene-3.4	3	0.00138376383763838	1249.96094310206
augustus_masked-SAKL0A-processed-gene-3.40	0	0	0
augustus_masked-SAKL0A-processed-gene-3.41	0	0	0
augustus_masked-SAKL0A-processed-gene-3.42	0	0	0
augustus_masked-SAKL0A-processed-gene-3.5	0	0	0
augustus_masked-SAKL0A-processed-gene-3.8	0	0	0
augustus_masked-SAKL0A-processed-gene-3.9	0	0	0
augustus_masked-SAKL0A-processed-gene-4.0	0	0	0
augustus_masked-SAKL0A-processed-gene-4.11	0	0	0
augustus_masked-SAKL0A-processed-gene-4.12	0	0	0
augustus_masked-SAKL0A-processed-gene-4.13	0	0	0
augustus_masked-SAKL0A-processed-gene-4.14	0	0	0
augustus_masked-SAKL0A-processed-gene-4.15	0	0	0
augustus_masked-SAKL0A-processed-gene-4.16	0	0	0
augustus_masked-SAKL0A-processed-gene-4.17	0	0	0
augustus_masked-SAKL0A-processed-gene-4.18	0	0	0
augustus_masked-SAKL0A-processed-gene-4.19	0	0	0
augustus_masked-SAKL0A-processed-gene-4.2	0	0	0
augustus_masked-SAKL0A-processed-gene-4.21	0	0	0
augustus_masked-SAKL0A-processed-gene-4.22	0	0	0
augustus_masked-SAKL0A-processed-gene-4.24	0	0	0
augustus_masked-SAKL0A-processed-gene-4.25	0	0	0
augustus_masked-SAKL0A-processed-gene-4.26	0	0	0
augustus_masked-SAKL0A-processed-gene-4.27	0	0	0
augustus_masked-SAKL0A-processed-gene-4.29	0	0	0
augustus_masked-SAKL0A-processed-gene-4.30	0	0	0
augustus_masked-SAKL0A-processed-gene-4.31	0	0	0
augustus_masked-SAKL0A-processed-gene-4.32	0	0	0
augustus_masked-SAKL0A-processed-gene-4.33	0	0	0
augustus_masked-SAKL0A-processed-gene-4.35	0	0	0
augustus_masked-SAKL0A-processed-gene-4.36	0	0	0
augustus_masked-SAKL0A-processed-gene-4.38	0	0	0
augustus_masked-SAKL0A-processed-gene-4.39	0	0	0
augustus_masked-SAKL0A-processed-gene-4.4	0	0	0
augustus_masked-SAKL0A-processed-gene-4.42	0	0	0
augustus_masked-SAKL0A-processed-gene-4.43	0	0	0
augustus_masked-SAKL0A-processed-gene-4.44	0	0	0
augustus_masked-SAKL0A-processed-gene-4.45	0	0	0
augustus_masked-SAKL0A-processed-gene-4.46	0	0	0
augustus_masked-SAKL0A-processed-gene-4.48	0	0	0
augustus_masked-SAKL0A-processed-gene-4.50	0	0	0
augustus_masked-SAKL0A-processed-gene-4.6	0	0	0
augustus_masked-SAKL0A-processed-gene-4.7	0	0	0
augustus_masked-SAKL0A-processed-gene-4.8	0	0	0
augustus_masked-SAKL0A-processed-gene-5.10	0	0	0
augustus_masked-SAKL0A-processed-gene-5.12	0	0	0
augustus_masked-SAKL0A-processed-gene-5.13	0	0	0
augustus_masked-SAKL0A-processed-gene-5.14	0	0	0
augustus_masked-SAKL0A-processed-gene-5.15	0	0	0
augustus_masked-SAKL0A-processed-gene-5.16	0	0	0
augustus_masked-SAKL0A-processed-gene-5.17	0	0	0
augustus_masked-SAKL0A-processed-gene-5.18	0	0	0
augustus_masked-SAKL0A-processed-gene-5.19	0	0	0
augustus_masked-SAKL0A-processed-gene-5.20	0	0	0
augustus_masked-SAKL0A-processed-gene-5.22	0	0	0
augustus_masked-SAKL0A-processed-gene-5.23	0	0	0
augustus_masked-SAKL0A-processed-gene-5.25	0	0	0
augustus_masked-SAKL0A-processed-gene-5.26	0	0	0
augustus_masked-SAKL0A-processed-gene-5.27	0	0	0
augustus_masked-SAKL0A-processed-gene-5.28	0	0	0
augustus_masked-SAKL0A-processed-gene-5.29	0	0	0
augustus_masked-SAKL0A-processed-gene-5.30	1	0.00079428117553614	717.478243220878
augustus_masked-SAKL0A-processed-gene-5.31	0	0	0
augustus_masked-SAKL0A-processed-gene-5.32	0	0	0
augustus_masked-SAKL0A-processed-gene-5.33	0	0	0
augustus_masked-SAKL0A-processed-gene-5.34	0	0	0
augustus_masked-SAKL0A-processed-gene-5.36	0	0	0
augustus_masked-SAKL0A-processed-gene-5.37	0	0	0
augustus_masked-SAKL0A-processed-gene-5.38	0	0	0
augustus_masked-SAKL0A-processed-gene-5.39	2	0.00402414486921529	3635.0306165597
augustus_masked-SAKL0A-processed-gene-5.40	1	0.000859845227858985	776.702586599386
augustus_masked-SAKL0A-processed-gene-5.41	0	0	0
augustus_masked-SAKL0A-processed-gene-5.42	0	0	0
augustus_masked-SAKL0A-processed-gene-5.43	0	0	0
augustus_masked-SAKL0A-processed-gene-5.44	0	0	0
augustus_masked-SAKL0A-processed-gene-5.45	0	0	0
augustus_masked-SAKL0A-processed-gene-5.47	0	0	0
augustus_masked-SAKL0A-processed-gene-5.6	0	0	0
augustus_masked-SAKL0A-processed-gene-5.7	0	0	0
augustus_masked-SAKL0A-processed-gene-5.9	0	0	0
augustus_masked-SAKL0A-processed-gene-6.105	0	0	0
